year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1965,1.2,2.3,0.9,-0.1,-4.5,-6.5,-6.8,-5.4,-2.8,1.7,1.3,1.7,-6.8
1966,2,3,0.8,-3.2,-4.7,-8.4,-7.6,-2.6,-3.1,1.9,2,2.6,-8.4
1967,1.3,2.2,1.3,-2,-1.7,-4.1,-4.7,-3.8,0.3,1.3,1.7,0.9,-4.7
1968,-0.1,2.4,1.6,-3.2,-5.5,-4.7,-5.6,-5.7,-2.6,1.3,1.4,1.3,-5.7
1969,1.9,2.4,1.6,0.3,-2.1,-5.5,-5.6,-3.5,-0.9,1.1,0.3,3.3,-5.6
1970,3.1,3.2,2.2,-0.7,-1.7,-2.6,-4,-4.6,-0.3,-0.7,-0.5,1.9,-4.6
1971,2.1,2.7,1.4,1.7,-4.7,-3.6,-6.1,-5.3,-4.2,-1.4,-1.4,-0.1,-6.1
1972,0.7,1,0.5,-1.2,-2.5,-5.8,-6.3,-3.5,-1.5,-1.4,2.5,1.7,-6.3
1973,2.6,1.9,2.7,-0.2,-4.4,-7.7,-5.9,-3.7,-0.4,2.8,3.2,1,-7.7
1974,1,1.7,-2.3,0,-6.1,-5.1,-6.6,-4.7,-1.5,-0.9,0,0.6,-6.6
1975,-2.9,2.8,2.4,1,-1.2,-2.8,-5.1,-5.3,-3.9,-0.9,-1.1,1.6,-5.3
1976,1.3,2.1,-0.1,-2.1,-1.7,-5.6,-6.2,-4.3,-0.9,-1.3,0.5,2.2,-6.2
1977,2.8,1.8,2.6,-1.4,-3.7,-5.4,-5.6,-4.7,-1.4,2.5,3.4,2.4,-5.6
1978,2.8,3.4,1.6,1.2,-3.5,-4.2,-6.7,-4.6,-1.7,-0.3,1.6,2.7,-6.7
1979,2.1,2.8,1.9,-0.7,-4.7,-4.8,-3.7,-4.7,-1.8,-1.5,2.4,3.1,-4.8
1980,2.8,1.3,0.9,-2.4,-4.5,-2.8,-2.7,-3.9,-0.5,1.8,1.7,1.6,-4.5
1981,3.1,1.8,2.4,0.8,-3.9,-3.7,-4.1,-2.2,0.6,1.4,2.6,2.4,-4.1
1982,2.6,2.3,2.7,-2.2,-3.9,-4.9,-3.5,-1.5,0.1,0,1.3,-0.4,-4.9
1983,1,1.3,0.8,0.5,-3.2,-5.2,-4.3,-1.5,-0.8,-0.7,-1.3,2.4,-5.2
1984,3,2.3,2.4,-0.8,-2.3,-5.8,-3.1,-4.6,-1.7,2,2.7,0.6,-5.8
1985,0.4,2.4,2.4,1,0.4,-3.3,-4.1,-3.1,-0.2,0.1,2.4,2.4,-4.1
1986,0.6,1.5,0.6,1.3,-6.5,-4.7,-8.6,-3.7,0.3,0.3,1.1,0.1,-8.6
1987,2.8,0.9,2,0.2,-2,-4.7,-5.6,-4.5,-2.3,-0.7,2.8,2.8,-5.6
1988,3.3,1.8,1.6,1.9,-0.5,-5.3,-6,-4.6,-0.5,-0.1,-1.7,1.5,-6
1989,1.8,0.4,1.9,1.2,-3.2,-4.5,-4.6,-5.8,-4.6,2.2,0.2,1.6,-5.8
1990,1.3,-0.4,0.1,0,-5.6,-6.4,-5.7,-2.3,-2.5,-0.7,3,2.6,-6.4
1991,0.8,2.1,1.3,1.5,-3.1,-5.6,-5.8,-6.6,-0.9,0.5,0.5,2,-6.6
1992,2,0.9,0.3,-0.9,-3.5,-6.7,-6.4,-5.7,-1.7,-0.7,-0.7,0.9,-6.7
1993,1.8,1.1,0.5,1.1,-1.8,-8.2,-6.2,-6.3,-1.8,1.1,2.1,2.5,-8.2
1994,-0.2,2.4,0,2.2,-2.7,-5.5,-5.5,-5.5,-3.6,-4.5,1.3,1.7,-5.5
1995,1.8,1.4,1.6,-4.7,-4.4,-6.6,-3.2,-5.5,-2.9,1.4,-0.9,0.9,-6.6
1996,2,2,0.9,-0.2,-3.1,-9.8,-8.9,-5.1,-3.3,0.3,0.9,2.2,-9.8
1997,1.1,1.1,1.1,-0.6,-2.7,-4.8,-5.7,-4.3,-2.6,-1.5,1.7,2.7,-5.7
1998,1.5,4.2,3.2,-0.5,-5.2,-5.4,-4.5,-5.6,-6.2,1.8,-0.9,1.7,-6.2
1999,1.9,2.4,2.3,0.9,-2.3,-9.2,-4.3,-2.8,-3.8,-0.4,1.2,2.2,-9.2
2000,2.1,0.3,2.1,-2,-3.4,-6.3,-6.5,-2.1,-1.7,-0.2,1.3,1.4,-6.5
2001,2.3,2.9,0.3,-0.9,-2.1,-2.9,-4.8,-4.5,-0.5,0.3,1.6,0.9,-4.8
2002,1.9,2.7,3.4,2,0.1,-2.5,-2.9,-2.1,0,-0.1,-1.5,2.5,-2.9
2003,2.2,2.9,1.9,-0.7,-3,-5.7,-6.6,-6.1,-2.7,-2.3,-0.8,3.1,-6.6
2004,2.1,2.2,1.8,0.5,-4.8,-5.6,-6.5,-3.4,-0.4,0,1.2,3.1,-6.5
2005,0.6,1.7,0.8,-1,-4.7,-7.6,-6.5,-6.4,-1,-0.4,-2,1.6,-7.6
2006,2,2.4,2.2,-2,-6.8,-7,-10.2,-4.6,-5.4,0.8,2,2.2,-10.2
2007,1.8,1.6,1.8,-0.8,-1,-4.8,-6,-2.6,-0.2,-0.2,0.4,1,-6
2008,1.8,1.2,-1.2,-0.4,-4.4,-6,-8.4,-6,-4,0,2.4,2,-8.4
2009,1.4,0,-0.6,-4,-4,-7.4,-6,-8,-4,0.8,-2.8,1.8,-8
2010,4,4.2,2.2,-2,-3,-4,-7.4,-6.2,-6,-1,0.6,2.8,-7.4
2011,3.4,2.8,2,-0.6,-5.8,-6.6,-5.2,-6,-3.4,-1,1.6,1.6,-6.6
2012,1.8,3.4,2.2,1,-6.8,-7.8,-8.2,-6.8,-5,1.8,2,2.4,-8.2
2013,2,3.4,2,-3,-2.8,-8,-6,-5.2,-6,1,2,0.6,-8
2014,0.4,2.4,0.2,-1.2,-5.8,-5,-5.6,-8.4,-0.4,-1.2,0,1.8,-8.4
2015,2,1.6,1.8,0,-4.6,-7,-10,-10.2,-1.2,-2.2,1.8,2,-10.2
2016,1,4.2,0,-2,-6,-5.2,-6.8,-5.4,-4.2,0.6,0.2,2,-6.8
2017,2.4,2,1,0,-1.6,-5.2,-6,-6.6,-0.8,-3.4,0.6,0.4,-6.6
2018,-0.2,0.6,1.4,-2.8,-4.6,-4.8,-4.8,-6.8,-6,0.8,2.8,0.2,-6.8
2019,1,1.8,1,-2.2,-3.4,-10.4,-6.6,-9.6,-1.4,-4.4,0.4,2.6,-10.4
