month,AYAVIRI,PROGRESO,LAMPA,CABANILLAS,AZANGARO,ARAPA,MUNANI,HUANCANE,HUARAYAMOHO,CAPACHICA
1,16.49301075268817,15.986774193548388,16.54763440860215,,16.036021505376343,16.134838709677418,15.57010752688172,14.918279569892473,14.889462365591399,14.297311827956989
2,16.426092089728453,16.08417945690673,16.403778040141678,,16.0297520661157,16.1900826446281,15.704486422668241,14.990200708382527,15.065289256198346,14.302361275088549
3,16.696559139784945,16.18043010752688,16.558279569892473,,16.298817204301074,16.58838709677419,16.071182795698924,15.082258064516129,15.020645161290323,14.495806451612903
4,17.14288888888889,16.425,16.744777777777777,,16.566777777777776,17.135666666666665,16.591444444444445,15.364888888888888,15.102666666666666,14.669333333333332
5,17.33795698924731,16.587741935483873,16.780860215053764,,16.584086021505378,17.171182795698925,16.697849462365593,15.278817204301074,14.923978494623656,14.550752688172043
6,16.57177777777778,15.883333333333333,16.115333333333332,,16.00488888888889,16.23177777777778,16.067333333333334,14.676333333333334,14.15611111111111,13.866999999999999
7,16.57752688172043,15.731182795698924,16.177634408602152,,16.07677419354839,16.184408602150537,16.093548387096774,14.616881720430108,14.191075268817205,13.81010752688172
8,17.530860215053764,16.54225806451613,16.91236559139785,,16.939139784946235,16.91709677419355,17.04817204301075,15.24731182795699,14.971075268817204,14.434516129032259
9,18.74733333333333,17.20577777777778,17.906555555555556,,17.78033333333333,17.83111111111111,17.75211111111111,16.102888888888888,15.980333333333332,15.140555555555556
10,19.018279569892474,17.42978494623656,18.349247311827956,,17.943870967741933,18.116129032258065,17.73290322580645,16.4247311827957,16.32494623655914,15.637741935483872
11,19.28,17.741555555555554,18.881333333333334,,18.218999999999998,18.488,17.904,16.801,16.698333333333334,16.085222222222225
12,17.914516129032258,16.794516129032257,17.90430107526882,,17.211290322580645,17.503225806451614,16.674516129032256,16.023118279569893,15.821827956989246,15.421290322580644
